Time ( Second ),Absorbance,Br2 Concentration,,,run 1 (trial 5),,,,,,,,,
0,-0.0472,-0.000360856,,,4 ace 10 acid,,,,,,,,,
5,-0.0438,-0.000334862,,,,,,,,,,,,
10,-0.0473,-0.000361621,,,,,,,,,,,,
15,-0.0439,-0.000335627,,,,,,,,,,,,
20,-0.046,-0.000351682,,,,,,,,,,,,
25,-0.0454,-0.000347095,,,,,,,,,,,,
30,0.353,0.002698777,,,,,,,,,,,,
35,0.3485,0.002664373,,,,,,,,,,,,
40,0.3436,0.002626911,,,,,,,,,,,,
45,0.3419,0.002613914,,,,,,,,,,,,
50,0.3387,0.00258945,,,,,,,,,,,,
55,0.3359,0.002568043,,,,,,,,,,,,
60,0.3325,0.002542049,,,,,,,,,,,,
65,0.3288,0.002513761,,,,,,,,,,,,
70,0.325,0.002484709,,,,,,,,,,,,
75,0.3207,0.002451835,,,,,,,,,,,,
80,0.3167,0.002421254,,,,,,,,,,,,
85,0.3123,0.002387615,,,,,,,,,,,,
90,0.3082,0.002356269,,,,,,,,,,,,
95,0.303,0.002316514,,,,,,,,,,,,
100,0.2981,0.002279052,,,,,,,,,,,,
105,0.2934,0.002243119,,,,,,,,,,,,Ti
110,0.289,0.00220948,,,,,,,,,,,,
115,0.2842,0.002172783,,,,,,,,,,,,
120,0.2796,0.002137615,,,,,,,,,,,,
125,0.2749,0.002101682,,,,,,,,,,,,
130,0.27,0.00206422,,,,,,,,,,,,
135,0.2653,0.002028287,,,,,,,,,,,,
140,0.2603,0.001990061,,,,,,,,,,,,
145,0.2554,0.001952599,,,,,,,,,,,,
150,0.2504,0.001914373,,,,,,,,,,,,
155,0.2452,0.001874618,,,,,,,,,,,,
160,0.2404,0.00183792,,,,,,,,,,,,
165,0.2354,0.001799694,,,,,,,,,,,,
170,0.2302,0.001759939,,,,,,,,,,,,
175,0.2249,0.001719419,,,,,,,,,,,,
180,0.2197,0.001679664,,,,,,,,,,,,
185,0.2142,0.001637615,,,,,,,,,,,,
190,0.2086,0.001594801,,,,,,,,,,,,
195,0.203,0.001551988,,,,,,,,,,,,
200,0.1975,0.001509939,,,,,,,,,,,,
205,0.1921,0.001468654,,,,,,,,,,,,
210,0.1864,0.001425076,,,,,,,,,,,,
215,0.1808,0.001382263,,,,,,,,,,,,
220,0.1751,0.001338685,,,,,,,,,,,,
225,0.1694,0.001295107,,,,,,,,,,,,
230,0.1639,0.001253058,,,,,,,,,,,,
235,0.1581,0.001208716,,,,,,,,,,,,
240,0.1524,0.001165138,,,,,,,,,,,,
245,0.1465,0.001120031,,,,,,,,,,,,
250,0.141,0.001077982,,,,,,,,,,,,
255,0.1352,0.001033639,,,,,,,,,,,,
260,0.1297,0.00099159,,,,,,,,,,,,
265,0.1242,0.000949541,,,,,,,,,,,,
270,0.1186,0.000906728,,,,,,,,,,,,
275,0.1129,0.00086315,,,,,,,,,,,,
280,0.1069,0.000817278,,,,,,,,,,,,
285,0.1011,0.000772936,,,,,,,,,,,,
290,0.0953,0.000728593,,,,,,,,,,,,
295,0.0897,0.00068578,,,,,,,,,,,,
300,0.0839,0.000641437,,,,,,,,,,,,
305,0.0778,0.000594801,,,,,,,,,,,,
310,0.072,0.000550459,,,,,,,,,,,,
315,0.0663,0.000506881,,,,,,,,,,,,
320,0.0605,0.000462538,,,,,,,,,,,,
325,0.0543,0.000415138,,,,,,,,,,,,
330,0.0482,0.000368502,,,,,,,,,,,,
335,0.0425,0.000324924,,,,,,,,,,,,
340,0.0365,0.000279052,,,,,,,,,,,,
345,0.0306,0.000233945,,,,,,,,,,,,
350,0.0247,0.000188838,,,,,,,,,,,,
355,0.0185,0.000141437,,,,,,,,,,,,
360,0.013,9.93884E-05,,,,,,,,,,,,
365,0.0086,6.57492E-05,,,,,,,,,,,,
370,0.0057,4.3578E-05,,,,,,,,,,,,
375,0.0057,4.3578E-05,,,,,,,,,,,,
380,0.0055,4.20489E-05,,,,,,,,,,,,
385,0.0056,4.28135E-05,,,,,,,,,,,,
390,0.0056,4.28135E-05,,,,,,,,,,,,
395,0.0057,4.3578E-05,,,,,,,,,,,,
400,0.0058,4.43425E-05,,,,,,,,,,,,
405,0.0059,4.5107E-05,,,,,,,,,,,,
410,0.006,4.58716E-05,,,,,,,,,,,,
415,0.0059,4.5107E-05,,,,,,,,,,,,
420,0.0059,4.5107E-05,,,,,,,,,,,,
425,0.0058,4.43425E-05,,,,,,,,,,,,
430,0.0058,4.43425E-05,,,,,,,,,,,,
435,0.0057,4.3578E-05,,,,,,,,,,,,
440,0.0053,4.05199E-05,,,,,,,,,,,,
445,0.0059,4.5107E-05,,,,,,,,,,,,
450,0.0059,4.5107E-05,,,,,,,,,,,,
