Time ( Second ),Absorbance,,Br2 Zeroth Order Concentration,Br2 First Order Concentration,Br2 Second Order Concentration
0,-0.0725,,-0.000554281,#NUM!,-1804.137931
5,-0.072,,-0.000550459,#NUM!,-1816.666667
10,-0.0722,,-0.000551988,#NUM!,-1811.634349
15,0.2843,,0.002173547,-6.131394699,460.077383
20,0.2815,,0.002152141,-6.14129227,464.6536412
25,0.2783,,0.002127676,-6.152725049,469.9964068
30,0.2718,,0.002077982,-6.176358216,481.2362031
35,0.2656,,0.002030581,-6.1994333,492.4698795
40,0.2605,,0.00199159,-6.218821857,502.1113244
45,0.2546,,0.001946483,-6.241731032,513.7470542
50,0.2476,,0.001892966,-6.269610177,528.2714055
55,0.2409,,0.001841743,-6.297042808,542.9638854
60,0.2342,,0.00179052,-6.325249267,558.4970111
65,0.2272,,0.001737003,-6.355594031,575.7042254
70,0.2195,,0.001678135,-6.390072485,595.8997722
75,0.2124,,0.001623853,-6.422953429,615.819209
80,0.2057,,0.00157263,-6.455005921,635.8774915
85,0.1992,,0.001522936,-6.487115373,656.626506
90,0.1928,,0.001474006,-6.519771336,678.4232365
95,0.1851,,0.001415138,-6.560528498,706.6450567
100,0.1778,,0.001359327,-6.600765395,735.6580427
105,0.1709,,0.001306575,-6.640346128,765.3598596
110,0.1631,,0.001246942,-6.687061208,801.9619865
115,0.1556,,0.001189602,-6.734136106,840.6169666
120,0.1483,,0.001133792,-6.782187469,881.9959541
125,0.1407,,0.001075688,-6.834794754,929.6375267
130,0.1332,,0.001018349,-6.88957296,981.981982
135,0.1256,,0.000960245,-6.948322464,1041.401274
140,0.1175,,0.000898318,-7.014986384,1113.191489
145,0.1095,,0.000837156,-7.085500169,1194.520548
150,0.1017,,0.000777523,-7.159397415,1286.135693
155,0.0936,,0.000715596,-7.242394335,1397.435897
160,0.0856,,0.000654434,-7.331739435,1528.037383
165,0.0778,,0.000594801,-7.427283287,1681.233933
170,0.0695,,0.000531346,-7.540097965,1882.014388
175,0.0616,,0.000470948,-7.660762847,2123.376623
180,0.0531,,0.000405963,-7.80924779,2463.276836
185,0.0444,,0.00033945,-7.988185249,2945.945946
190,0.0365,,0.000279052,-8.184112457,3583.561644
195,0.0286,,0.000218654,-8.428018,4573.426573
200,0.0201,,0.00015367,-8.780704903,6507.462687
205,0.0117,,8.94495E-05,-9.321835876,11179.48718
210,0.0038,,2.9052E-05,-10.44642365,34421.05263
215,-0.0043,,-3.28746E-05,#NUM!,-30418.60465
220,-0.0119,,-9.09786E-05,#NUM!,-10991.59664
225,-0.0172,,-0.000131498,#NUM!,-7604.651163
230,-0.0223,,-0.000170489,#NUM!,-5865.470852
235,-0.0227,,-0.000173547,#NUM!,-5762.114537
240,-0.0226,,-0.000172783,#NUM!,-5787.610619
245,-0.0225,,-0.000172018,#NUM!,-5813.333333
250,-0.0229,,-0.000175076,#NUM!,-5711.790393
255,-0.0222,,-0.000169725,#NUM!,-5891.891892
260,-0.0227,,-0.000173547,#NUM!,-5762.114537
265,-0.0223,,-0.000170489,#NUM!,-5865.470852
270,-0.022,,-0.000168196,#NUM!,-5945.454545
275,-0.0223,,-0.000170489,#NUM!,-5865.470852
280,-0.0217,,-0.000165902,#NUM!,-6027.64977
