Time ( Second ),RawData ...,,run 3 (trial 2)
0,-0.0447,,6 ace 15 acid
5,-0.0447,,
10,-0.0445,,
15,-0.045,,
20,-0.045,,
25,-0.0449,,
30,-0.0451,,
35,-0.0448,,
40,-0.0447,,
45,-0.0447,,
50,-0.0446,,
55,-0.0447,,
60,-0.0446,,
65,-0.0453,,
70,0.3221,,
75,0.3184,,
80,0.3071,,
85,0.2961,,
90,0.2852,,
95,0.2739,,
100,0.2635,,
105,0.252,,
110,0.242,,
115,0.2313,,
120,0.22,,
125,0.2085,,
130,0.1975,,
135,0.1861,,
140,0.174,,
145,0.1619,,
150,0.1508,,
155,0.1383,,
160,0.1267,,
165,0.1146,,
170,0.1038,,
175,0.0922,,
180,0.081,,
185,0.0692,,
190,0.0567,,
195,0.0443,,
200,0.0319,,
205,0.0197,,
210,0.0088,,
215,0.0038,,
220,0.0038,,
225,0.0041,,
230,0.0041,,
235,0.0038,,
240,0.0037,,
245,0.0037,,
250,0.004,,
255,0.0042,,
260,0.0039,,
265,0.0038,,
270,0.0037,,
275,0.0036,,
280,0.0035,,
285,0.0035,,
290,0.0042,,
295,0.0039,,
300,0.0036,,
305,0.0031,,
310,0.0034,,
315,0.0039,,
320,0.004,,
325,0.0043,,
330,0.0043,,
335,0.0037,,
340,0.0037,,
345,0.0037,,
350,0.0034,,
355,0.004,,
360,0.0044,,
365,0.0043,,
370,0.0047,,
375,0.0042,,
380,0.0043,,
385,0.0044,,
390,0.0047,,
395,0.0042,,
400,0.0044,,
405,0.0043,,
410,0.0044,,
415,0.004,,
420,0.0044,,
425,0.0041,,
430,0.0045,,
435,0.0046,,
440,0.0042,,
445,0.0045,,
450,0.0043,,
455,0.0046,,
460,0.0045,,
465,0.0051,,
470,0.0045,,
